Recommendation,Interview Quotes,Abstracts,Main Idea,Code,Theme,Specific,Amount of Interviews,Tags,AllText
13,"I like to base it on a textbook because I think a sequence is evident for the students, right? We can even choose some chapters, even making an essential part of this material [...] we research several things to set up our class. Still, having a backbone formed by literature I think it's always important.

 I was looking for books to use. And, um, you know, I started to look at the books from Jane Kim. Um, and essentially I found this DevOps handbook, which has really not written as a textbook, but it's, it covers it's, it's built around the three ways of DevOps. So the first way is the notion of flow. The second way is the notion of, um, feedback. And the third way is continual learning and experimentation.

So this book [DevOps Handbook] is very well done in this sense [...] it goes to the foundations of devops and gets to the different key ideas, right?

The lectures, um, for the first part it's okay. I think for, until the midterm to have just get essentially through the book.

The book has a lot of case study and examples like Facebook, Google, LinkedIn, uh, Netflix.","Using a textbook as a basis and to give students a better idea of the sequence of the course contents.

Take Gene Kim's book DevOps Handbook as a reference to prepare a DevOps class.

Devops Handbook goes to the foundations of DevOps and gets to the different key ideas.

Use DevOps Handbook to create the lectures.

Find books like DevOps Handbook that have industrial case studies about Facebook, Google, etc.",Use a textbook as a basis to guide the course classes.,Use of a textbook.,class preparation,no,2,book; material; DevOps Handbook; case study; industry; preparation,"I like to base it on a textbook because I think a sequence is evident for the students, right? We can even choose some chapters, even making an essential part of this material [...] we research several things to set up our class. Still, having a backbone formed by literature I think it's always important.

 I was looking for books to use. And, um, you know, I started to look at the books from Jane Kim. Um, and essentially I found this DevOps handbook, which has really not written as a textbook, but it's, it covers it's, it's built around the three ways of DevOps. So the first way is the notion of flow. The second way is the notion of, um, feedback. And the third way is continual learning and experimentation.

So this book [DevOps Handbook] is very well done in this sense [...] it goes to the foundations of devops and gets to the different key ideas, right?

The lectures, um, for the first part it's okay. I think for, until the midterm to have just get essentially through the book.

The book has a lot of case study and examples like Facebook, Google, LinkedIn, uh, Netflix. Using a textbook as a basis and to give students a better idea of the sequence of the course contents.

Take Gene Kim's book DevOps Handbook as a reference to prepare a DevOps class.

Devops Handbook goes to the foundations of DevOps and gets to the different key ideas.

Use DevOps Handbook to create the lectures.

Find books like DevOps Handbook that have industrial case studies about Facebook, Google, etc. Use a textbook as a basis to guide the course classes. book; material; DevOps Handbook; case study; industry; preparation"
14,"There are a [...] series of features to be developed, and [...] the student has been trained for this. But other aspects related more to putting the system into production, to be careful [...] after the procedure is operational, not focusing on factors related to the system's functionalities anymore, but directing to non-functional aspects, then the students they need to have a better sense of it.",Work on improving students' skills related to non-functional requirements.,,Perfecting of skills with non-functional requirements,curriculum,no,1,production; non-functional; skill; student; technique; curriculum; syllabus,"There are a [...] series of features to be developed, and [...] the student has been trained for this. But other aspects related more to putting the system into production, to be careful [...] after the procedure is operational, not focusing on factors related to the system's functionalities anymore, but directing to non-functional aspects, then the students they need to have a better sense of it. Work on improving students' skills related to non-functional requirements.  production; non-functional; skill; student; technique; curriculum; syllabus"
15,"The microservices tool is one of the tools I have been using with them. A device, an environment in which we put the students' solutions there and they can see more of the Continuous Integration part there.

These systems being made available and then with the creation of the DevOps tool from the IFRN cloud, the microservices system there, it was then possible for us to have this more practical view of the process as a whole. So, I have adopted it in all semesters, including, I have always asked students to work with this tool.

Having this system already in the air, I also believe that it is another gain, why? Because as you advance in the themes, you can already put ""look, this aspect here that we are working on, you will have already contemplated in the system through this, this and this"".

When it comes to teaching devops concepts, like, continuous integration, there will be a tool.","Use of a learning tool to facilitate understanding of the concept of Continuous Integration.

Using a learning tool helps in DevOps teaching.

Using a learning tool helps in DevOps teaching.

Use tools while explaining the continuous integration concept.",Use a learning tool to easy the DevOps teaching.,Use of a learning tool,tool / technology,yes,2,continuous integration; tool; technology; practice; automation; gradual; ci,"The microservices tool is one of the tools I have been using with them. A device, an environment in which we put the students' solutions there and they can see more of the Continuous Integration part there.

These systems being made available and then with the creation of the DevOps tool from the IFRN cloud, the microservices system there, it was then possible for us to have this more practical view of the process as a whole. So, I have adopted it in all semesters, including, I have always asked students to work with this tool.

Having this system already in the air, I also believe that it is another gain, why? Because as you advance in the themes, you can already put ""look, this aspect here that we are working on, you will have already contemplated in the system through this, this and this"".

When it comes to teaching devops concepts, like, continuous integration, there will be a tool. Use of a learning tool to facilitate understanding of the concept of Continuous Integration.

Using a learning tool helps in DevOps teaching.

Using a learning tool helps in DevOps teaching.

Use tools while explaining the continuous integration concept. Use a learning tool to easy the DevOps teaching. continuous integration; tool; technology; practice; automation; gradual; ci"
16,"The importance of actually having a discipline like this in the curriculum talking about these themes.

We are going through a matrix reformulation process,[...] this part of the workload and this discipline, really, the usefulness and one of the defenses that were made, was precisely that the discipline existed in the course, precisely because at another time, these topics would not be considered. So that's why it's important to have a discipline like that in the curriculum talking about these themes.

In a course like ours, in development, having a discipline like this, I think it is important indeed.
","DevOps deserves a discipline in the curriculum.

Be concerned with the course's curriculum, maintaining and creating DevOps disciplines.

DevOps deserves a discipline in the curriculum of courses focused on software development.",DevOps deserves a discipline in the curriculum.,Necessity of a DevOps discipline,curriculum,yes,1,discipline; course; curriculum; syllabus,"The importance of actually having a discipline like this in the curriculum talking about these themes.

We are going through a matrix reformulation process,[...] this part of the workload and this discipline, really, the usefulness and one of the defenses that were made, was precisely that the discipline existed in the course, precisely because at another time, these topics would not be considered. So that's why it's important to have a discipline like that in the curriculum talking about these themes.

In a course like ours, in development, having a discipline like this, I think it is important indeed.
 DevOps deserves a discipline in the curriculum.

Be concerned with the course's curriculum, maintaining and creating DevOps disciplines.

DevOps deserves a discipline in the curriculum of courses focused on software development. DevOps deserves a discipline in the curriculum. discipline; course; curriculum; syllabus"
17,"We can assess teamwork in students, like those who are collaborating, those who are more overloaded, those who are perhaps less overloaded, those who develop and deliver more features, those who do not cooperate with teamwork.

The evaluation part [...] the recommendation would be to try to come up [...] some project or some challenge in the project itself that involves collaboration between people. Be able to divide the class there, the students into groups and each one will attack a problem and then everything has to come together, right? So, watch them.","Evaluate level of participation and difficulty of students in teamwork.

Assess students through project and group exercises, more specifically the collaboration of each one within the group.",Evaluate level of participation and difficulty of students in teamwork.,Evaluation of participation in teamwork,assessment,no,2,evaluation; team; group; project; exercise; collaboration; participation; partnership; assessment; activity; task; mission; evaluation,"We can assess teamwork in students, like those who are collaborating, those who are more overloaded, those who are perhaps less overloaded, those who develop and deliver more features, those who do not cooperate with teamwork.

The evaluation part [...] the recommendation would be to try to come up [...] some project or some challenge in the project itself that involves collaboration between people. Be able to divide the class there, the students into groups and each one will attack a problem and then everything has to come together, right? So, watch them. Evaluate level of participation and difficulty of students in teamwork.

Assess students through project and group exercises, more specifically the collaboration of each one within the group. Evaluate level of participation and difficulty of students in teamwork. evaluation; team; group; project; exercise; collaboration; participation; partnership; assessment; activity; task; mission; evaluation"
18,We can monitor this part of the evaluation a lot due to their activity. So part of it is the cloud system tool that allows us to do this monitoring.,Monitoring of students through activities in a learning support environment.,,Monitoring by a supportive learning environment.,tool / technology,no,1,monitoring; activity; exercise; support; environment; task; platform; mission; tool; technology; automation; supervision,We can monitor this part of the evaluation a lot due to their activity. So part of it is the cloud system tool that allows us to do this monitoring. Monitoring of students through activities in a learning support environment.  monitoring; activity; exercise; support; environment; task; platform; mission; tool; technology; automation; supervision
19,"Usually, they already arrive with the system, sometimes deployed in another environment, which is quite common for them to use this environment. Then we have to bring them in, asking them to use ours.",Ask students to adopt the tools used by instructors.,,Adoption of tools from instructors   by students,tool / technology,no,1,adoption; migration; tool; technology; automation; choice; selection,"Usually, they already arrive with the system, sometimes deployed in another environment, which is quite common for them to use this environment. Then we have to bring them in, asking them to use ours. Ask students to adopt the tools used by instructors.  adoption; migration; tool; technology; automation; choice; selection"
20,"Suppose the course is a development course or one that involves the operation part. In that case, it is essential to have a discipline that centralizes this information, a domain, perhaps, later on, that gathers these concepts, already preparing the student more for the market.[...] a rather considerable workload to have this dynamic with the students.",A discipline must have a considerable workload to centralize and harmonize development and operation information.,,DevOps discipline with the considerable workload.,curriculum,yes,1,workload; course; discipline; development; operation; curriculum; syllabus; schedule,"Suppose the course is a development course or one that involves the operation part. In that case, it is essential to have a discipline that centralizes this information, a domain, perhaps, later on, that gathers these concepts, already preparing the student more for the market.[...] a rather considerable workload to have this dynamic with the students. A discipline must have a considerable workload to centralize and harmonize development and operation information.  workload; course; discipline; development; operation; curriculum; syllabus; schedule"
21,"They use the system, and I always ask them to socialize. Now, of more remote education, we're doing that they associate what they did.  And when we are at this moment of socialization, the students can take advantage of the gain and knowledge that another team had in an aspect that, at times, they had not noticed.

 I teach them about social coding.

It's tough to get the students to be more social if you will, in their coding practices and do pair programming, uh, and follow the, get feature branch workflow. ","Socializing knowledge acquired in practical activities is essential for learning.

Teach social coding.

Get the students to be more social in their coding practices and do pair programming ",Teach social coding.,Socialization of knowledge of practical activities,strategies in course execution,no,2,social; knowledge; practice; activity; exercise; coding; pair programming; task; mission; strategy; execution,"They use the system, and I always ask them to socialize. Now, of more remote education, we're doing that they associate what they did.  And when we are at this moment of socialization, the students can take advantage of the gain and knowledge that another team had in an aspect that, at times, they had not noticed.

 I teach them about social coding.

It's tough to get the students to be more social if you will, in their coding practices and do pair programming, uh, and follow the, get feature branch workflow.  Socializing knowledge acquired in practical activities is essential for learning.

Teach social coding.

Get the students to be more social in their coding practices and do pair programming  Teach social coding. social; knowledge; practice; activity; exercise; coding; pair programming; task; mission; strategy; execution"
22,"They choose to [...] put this system on the air for a customer to see, right? In this aspect, the client is the teachers themselves who are evaluating.",Adopt a more professional approach in which teachers act as clients.,,Teachers as clients,strategies in course execution,no,1,professional; approach; technique; strategy; execution,"They choose to [...] put this system on the air for a customer to see, right? In this aspect, the client is the teachers themselves who are evaluating. Adopt a more professional approach in which teachers act as clients.  professional; approach; technique; strategy; execution"
23,"The aspects that we address about continuous integration, [...] use of the tools we use in the environment, on a day-to-day basis, facilitate development that speeds up delivery; this is one of the topics we have. In the discipline, I believe that these themes should be part of their curriculum; they should contact this theme there.",The Continuous Integration and industry tools must be in the curricula.,,Continuous Integration and industrial tools at the curriculum,curriculum,yes,1,continuous integration; tool; technology; concept; course; discipline; theory; automation; gradual; curriculum; syllabus; ci,"The aspects that we address about continuous integration, [...] use of the tools we use in the environment, on a day-to-day basis, facilitate development that speeds up delivery; this is one of the topics we have. In the discipline, I believe that these themes should be part of their curriculum; they should contact this theme there. The Continuous Integration and industry tools must be in the curricula.  continuous integration; tool; technology; concept; course; discipline; theory; automation; gradual; curriculum; syllabus; ci"
24,"But as there isn't, we find different materials; we have several publications.","Combine the various materials and publications available to make up for the lack of a unified, complete, and high-level material.",,Union of various materials and publications available,class preparation,no,1,material; publication; paper; combination; solution; report; group; integration; preparation; writing; book; record,"But as there isn't, we find different materials; we have several publications. Combine the various materials and publications available to make up for the lack of a unified, complete, and high-level material.  material; publication; paper; combination; solution; report; group; integration; preparation; writing; book; record"
25,"[...] With the addition of our Project of Software Development team of professor Sales, he has access, so, more within the tool, he already knows the most diverse aspects. It was already possible for us to solve several difficulties.[...]","When using a tool to help teach, you must have a good command of it and the necessary permissions/accompaniment of someone with such permissions to deal well with the possible difficulties during its use in the discipline.",,good mastery of the tools with the necessary permissions,tool / technology,no,1,command; permission; tool; technology; automation; freedom,"[...] With the addition of our Project of Software Development team of professor Sales, he has access, so, more within the tool, he already knows the most diverse aspects. It was already possible for us to solve several difficulties.[...] When using a tool to help teach, you must have a good command of it and the necessary permissions/accompaniment of someone with such permissions to deal well with the possible difficulties during its use in the discipline.  command; permission; tool; technology; automation; freedom"
26,The same DevOps discipline now applies at the institution where I teach concerning classes focused on security and vulnerability management and courses focused on application development and construction.,You can use the same discipline of DevOps for operation groups focused on safety and development groups.,,Identical DevOps discipline for  operation and development classes,curriculum,yes,1,discipline; course; operation; security; development; curriculum; syllabus,The same DevOps discipline now applies at the institution where I teach concerning classes focused on security and vulnerability management and courses focused on application development and construction. You can use the same discipline of DevOps for operation groups focused on safety and development groups.  discipline; course; operation; security; development; curriculum; syllabus
27,"In DevOps [...], the security teams are much more in understanding what it represents from the point of view of vulnerability management and architecture, from the network concerning the cloud.","Teach the part of cloud vulnerability, architecture, and network management to the security classes in DevOps.",,Vulnerability management teaching to DevOps security classes.,curriculum,yes,1,cloud; security; architecture; network; structure; curriculum; syllabus,"In DevOps [...], the security teams are much more in understanding what it represents from the point of view of vulnerability management and architecture, from the network concerning the cloud. Teach the part of cloud vulnerability, architecture, and network management to the security classes in DevOps.  cloud; security; architecture; network; structure; curriculum; syllabus"
29,"The recommendation is to understand the learning context of the class.

Adapt the menu according to the student profile you have.","Identify the most compatible DevOps scope for each class.

Adapt the course according to the profile of students.",Identify the most compatible DevOps scope for each class.,DevOps scope more compatible with each class,class preparation,yes,1,scope; background; profile; student; history; training; experience; preparation,"The recommendation is to understand the learning context of the class.

Adapt the menu according to the student profile you have. Identify the most compatible DevOps scope for each class.

Adapt the course according to the profile of students. Identify the most compatible DevOps scope for each class. scope; background; profile; student; history; training; experience; preparation"
