Challenge,Interview Quotes,Abstracts,Main Idea,Code,Theme,Specific,Amount of Interviews,Tags,AllText
12,"There is no such literature in the area of ​​enterprise systems.

A partner editor, including the board, who brought a catalog of books for us to take a look at, and I went after it, including a book on the subject, right? From corporate systems, right, from this part of DevOps, and simply, I didn't find it in the catalog.

The even greater difficulty, which I can point out, is precisely the structuring, really, perhaps of the sequence of classes, because we do not have this material that guides.

It is a discipline with no definition, so there is no introductory textbook. There is not something totally agreed upon between the community of what it is, when it is applied, and such.

The course preparation is very difficult [...] there will not be that much paper, article because it is very new.

 And then the books are more industry oriented. Like, uh, we don't look at the, uh, uh, more with teaching parts, like, um, so there is no textbook, actually it is more industry document, eh, discussion about DevOps.

 what we sit and do, but, uh, so from the lab perspective, that's interesting, but on the teaching side, as I said, like, uh, having limited material, make the teaching a little bit more difficult.

your books are written mostly with the different projects in mind. Like they are thinking about people working in the company, but not thinking about students who are learning. And this makes it very difficult to design a DevOps curriculum where you cover a hundred percent DevOps in one course.","Difficulty finding book on corporate systems related to DevOps.

Literature in the area of ​​enterprise systems related to DevOps is insufficient.

Difficulty in structuring classes due to lack of reference material.

There is no fully agreed community base text.

There are not so many scientific articles on which to base course preparation.

The books are more industry oriented. There is no textbook about with discussion about DevOps concepts.

There's limited material to teach.

Books are designed to company professionals and not about to students who are learning.",Insufficient literature related to teach DevOps.,Insufficient literature.,class preparation,yes,3,literature; material; book; publication; preparation; research,"There is no such literature in the area of ​​enterprise systems.

A partner editor, including the board, who brought a catalog of books for us to take a look at, and I went after it, including a book on the subject, right? From corporate systems, right, from this part of DevOps, and simply, I didn't find it in the catalog.

The even greater difficulty, which I can point out, is precisely the structuring, really, perhaps of the sequence of classes, because we do not have this material that guides.

It is a discipline with no definition, so there is no introductory textbook. There is not something totally agreed upon between the community of what it is, when it is applied, and such.

The course preparation is very difficult [...] there will not be that much paper, article because it is very new.

 And then the books are more industry oriented. Like, uh, we don't look at the, uh, uh, more with teaching parts, like, um, so there is no textbook, actually it is more industry document, eh, discussion about DevOps.

 what we sit and do, but, uh, so from the lab perspective, that's interesting, but on the teaching side, as I said, like, uh, having limited material, make the teaching a little bit more difficult.

your books are written mostly with the different projects in mind. Like they are thinking about people working in the company, but not thinking about students who are learning. And this makes it very difficult to design a DevOps curriculum where you cover a hundred percent DevOps in one course. Difficulty finding book on corporate systems related to DevOps.

Literature in the area of ​​enterprise systems related to DevOps is insufficient.

Difficulty in structuring classes due to lack of reference material.

There is no fully agreed community base text.

There are not so many scientific articles on which to base course preparation.

The books are more industry oriented. There is no textbook about with discussion about DevOps concepts.

There's limited material to teach.

Books are designed to company professionals and not about to students who are learning. Insufficient literature related to teach DevOps. literature; material; book; publication; preparation; research"
13,"Once it's deployed, how do you manage to monitor and give and maybe get feedback from the customer, maybe things to improve, the monitoring of the system itself, this part is a challenge, really, to be able to show it to the student and maybe , make him face it from a more professional perspective, because already imagining that he is going to the market and will come across these many situations there.

When they arrive, many use another environment[...] they put the system there and they don't have to worry too much about other details[...] We really ask them to make this migration for them to have this other view, this aspect of setting up the environment. Putting it into production and keeping this system working.[...] I think this can be seen as a challenge, which is to convince students to give importance to this, the importance of them knowing these aspects too, not leaving it so transparent to them too.","It is difficult to make the student face teaching scenarios with a more professional perspective, with production-level monitoring.

Difficulty in making clear to students the importance of having a more realistic perspective of production, using other environments and leaving aside the comfort zone in which they may be inserted.",Difficulty in making clear to students the importance of having a more realistic perspective of production.,Exercises with professional scenarios,strategies in course execution,yes,1,professional; realistic; scenario; exercise; strategy; execution,"Once it's deployed, how do you manage to monitor and give and maybe get feedback from the customer, maybe things to improve, the monitoring of the system itself, this part is a challenge, really, to be able to show it to the student and maybe , make him face it from a more professional perspective, because already imagining that he is going to the market and will come across these many situations there.

When they arrive, many use another environment[...] they put the system there and they don't have to worry too much about other details[...] We really ask them to make this migration for them to have this other view, this aspect of setting up the environment. Putting it into production and keeping this system working.[...] I think this can be seen as a challenge, which is to convince students to give importance to this, the importance of them knowing these aspects too, not leaving it so transparent to them too. It is difficult to make the student face teaching scenarios with a more professional perspective, with production-level monitoring.

Difficulty in making clear to students the importance of having a more realistic perspective of production, using other environments and leaving aside the comfort zone in which they may be inserted. Difficulty in making clear to students the importance of having a more realistic perspective of production. professional; realistic; scenario; exercise; strategy; execution"
14,"The challenge of making students see this approach to operationalization, putting the system on the air, maintaining this system, adding new features and not breaking the system.

The concept of continuous delivery [...] The difficult thing is to put it into practice [...] when they, as a team, need to release a certain functionality and ensure that it doesn't break the system.","Difficulty in teaching the student how to operate the system, allowing the addition of new features without breaking the system.

Difficulty for students to practice the concept of Continuous Delivery when it is necessary to add new features to the system without the build breaking.","Difficulty in teaching the student how to operate the system, allowing the addition of new features without breaking the system.",Difficulty in teaching about operationalization and addition of new system features,devops concepts,yes,1,feature; break; system; build; continuous delivery; concept; theory; cd; application; pause; gradual; technique; approach; continuous deployment,"The challenge of making students see this approach to operationalization, putting the system on the air, maintaining this system, adding new features and not breaking the system.

The concept of continuous delivery [...] The difficult thing is to put it into practice [...] when they, as a team, need to release a certain functionality and ensure that it doesn't break the system. Difficulty in teaching the student how to operate the system, allowing the addition of new features without breaking the system.

Difficulty for students to practice the concept of Continuous Delivery when it is necessary to add new features to the system without the build breaking. Difficulty in teaching the student how to operate the system, allowing the addition of new features without breaking the system. feature; break; system; build; continuous delivery; concept; theory; cd; application; pause; gradual; technique; approach; continuous deployment"
15,"How can we see if the student is aware of the concept of continuous delivery, which is one of the concepts we address?",Difficulty in assessing students' understanding of Continuous Delivery.,,Difficulty in evaluating the understanding of Continuous Delivery,assessment,yes,1,continuous delivery; assessment; cd; evaluation; gradual; technique; continuous deployment,"How can we see if the student is aware of the concept of continuous delivery, which is one of the concepts we address? Difficulty in assessing students' understanding of Continuous Delivery.  continuous delivery; assessment; cd; evaluation; gradual; technique; continuous deployment"
16,"It's more this initial contact that seems to scare them a little more, it makes them go to others, when they arrive.

The part of actually putting an initial part has this shock of this reality there for the students in which they have to leave a tool that they are already there with the system running and bring it to our tool.","The environment adopted by instructors can frighten students by making them migrate to other tools.

Students' initial difficult at having to switch from tools in which their applications were already working to the one adopted by the instructor.",The process of making students migrate to other tools it's hard.,Difficulty in tool change,environment setup,yes,1,migration; tool; environment; setup,"It's more this initial contact that seems to scare them a little more, it makes them go to others, when they arrive.

The part of actually putting an initial part has this shock of this reality there for the students in which they have to leave a tool that they are already there with the system running and bring it to our tool. The environment adopted by instructors can frighten students by making them migrate to other tools.

Students' initial difficult at having to switch from tools in which their applications were already working to the one adopted by the instructor. The process of making students migrate to other tools it's hard. migration; tool; environment; setup"
17,"the docker, [...] to use, they usually have a greater difficulty in this theme, in the beginning.",Initial difficulty using the Docker container tool.,,Difficulty with Docker,tool / technology,yes,1,docker; container; tool; technology,"the docker, [...] to use, they usually have a greater difficulty in this theme, in the beginning. Initial difficulty using the Docker container tool.  docker; container; tool; technology"
19,"A challenge that is to convince students to give importance to this... they have this other view, this aspect of the configuration of the environment.",The student has difficulty realizing the importance of setting the environment.,,Difficulty in understanding the importance of setting the environment,environment setup,yes,1,environment; setup,"A challenge that is to convince students to give importance to this... they have this other view, this aspect of the configuration of the environment. The student has difficulty realizing the importance of setting the environment.  environment; setup"
22,"The challenges I can mention is precisely this part of you being able to demonstrate, right, to demonstrate to them all this tooling of ours.

The main challenge is that, in general, DevOps related tools are cloud-based systems.

In general, you have a wide range of solutions. You have a very large ecosystem of possibilities on how to test or demonstrate a concept.

A difficulty of technologies is about recognizing what is relevant to be addressed in the classroom, is not it? So, for example, there is much technology on the market.

Because the DevOps universe has millions of tools, technologies, and [...] It has an infinity of tools, they all meet the objectives. They are good and such.

This is a problem because of what happens: there are several tools, and we always have to close on some for the didactic nature of experimentation.

The other big challenge is: technology. People come with Macs, people come with windows, people come with Linux. [...] So that's the other challenge is people coming in with different technology and then how do you teach them the same thing without saying: ""oh, the command in windows is this and the command on a Mac is that.""

It can be also challenging for the, if you have the lab instructor with handling all tools.","There are a large number of DevOps tools available.

Many DevOps tools are cloud based.

Many DevOps tools and usability available.

Difficulty in deciding which technologies to teach, given the wide variety available on the market.

There are many DevOps tools.

There are many DevOps tools to choose from.

It's hard to deal with many options of tools.

The lab instructor should handle many tools.",There is a large number of DevOps tools.,Abundance of tools for DevOps practices,tool / technology,yes,7,tool; technology; automation,"The challenges I can mention is precisely this part of you being able to demonstrate, right, to demonstrate to them all this tooling of ours.

The main challenge is that, in general, DevOps related tools are cloud-based systems.

In general, you have a wide range of solutions. You have a very large ecosystem of possibilities on how to test or demonstrate a concept.

A difficulty of technologies is about recognizing what is relevant to be addressed in the classroom, is not it? So, for example, there is much technology on the market.

Because the DevOps universe has millions of tools, technologies, and [...] It has an infinity of tools, they all meet the objectives. They are good and such.

This is a problem because of what happens: there are several tools, and we always have to close on some for the didactic nature of experimentation.

The other big challenge is: technology. People come with Macs, people come with windows, people come with Linux. [...] So that's the other challenge is people coming in with different technology and then how do you teach them the same thing without saying: ""oh, the command in windows is this and the command on a Mac is that.""

It can be also challenging for the, if you have the lab instructor with handling all tools. There are a large number of DevOps tools available.

Many DevOps tools are cloud based.

Many DevOps tools and usability available.

Difficulty in deciding which technologies to teach, given the wide variety available on the market.

There are many DevOps tools.

There are many DevOps tools to choose from.

It's hard to deal with many options of tools.

The lab instructor should handle many tools. There is a large number of DevOps tools. tool; technology; automation"
25,"The main challenge is to correctly convey to students the idea that DevOps is about a culture.

It is the cultural challenge of I am not going to deliver a ready-made recipe.

How to apply these things from Devops in companies [...] there is a great difficulty that is cultural. Companies have always organized themselves in this way, separating movement from infrastructure, not having collaboration, not having communication, and this ends up generating friction, especially when problems arise [...] go on changing a little the company's culture, the process, the way people organize themselves, meet, and such, trying to remove the barriers there until it is natural and both teams work together [...] with a single goal, which is to develop, deliver software that works and solve problems as quickly as possible.

Trying to contextualize this too is very difficult.

Culture is difficult to teach.","Difficulty to teach the DevOps culture.

There is no ready-made recipe to teach the DevOps mindset (culture).

Difficulty breaking through resistance to the DevOps culture and its principles.

Difficulty contextualizing the DevOps culture.

Culture is difficult to teach.",DevOps culture is hard to teach. ,Lack of step-by-step instructions about cultural part teaching,devops concepts,yes,4,culture; mindset; principle; skill; convention; rule; technique; criteria,"The main challenge is to correctly convey to students the idea that DevOps is about a culture.

It is the cultural challenge of I am not going to deliver a ready-made recipe.

How to apply these things from Devops in companies [...] there is a great difficulty that is cultural. Companies have always organized themselves in this way, separating movement from infrastructure, not having collaboration, not having communication, and this ends up generating friction, especially when problems arise [...] go on changing a little the company's culture, the process, the way people organize themselves, meet, and such, trying to remove the barriers there until it is natural and both teams work together [...] with a single goal, which is to develop, deliver software that works and solve problems as quickly as possible.

Trying to contextualize this too is very difficult.

Culture is difficult to teach. Difficulty to teach the DevOps culture.

There is no ready-made recipe to teach the DevOps mindset (culture).

Difficulty breaking through resistance to the DevOps culture and its principles.

Difficulty contextualizing the DevOps culture.

Culture is difficult to teach. DevOps culture is hard to teach.  culture; mindset; principle; skill; convention; rule; technique; criteria"
26,"The student hopes to [...] learn that killer tool, which will help in the practical context of his life, whether in the process of development, security or operations. [...] wants to know the tools much more than understand the DevOps culture.

The first challenge is to decouple the idea that about DevOps [...] to deliver a formula.

The students arrive with the idea that they have a set of X tools to deliver in their daily lives and tools only a piece and a small piece within the delivery process, which is more cultural and more personal than tooling, huh? Organizational even, I would say.

It is to set expectations when he signs up that the entire course is not tooling and that no, we will not use the best stacks in the market.

Give this view that DevOps is not just a tool [...] It is very much in line with agile movement.

Trying to show that DevOps is not just tools, trying to make people understand this and trying to change it during the class, so trying as best as possible to make people understand, right? That they will end up having to change the culture of the environment, right? The processes, the way they organize themselves.

 People coming through the programs want to play with technology. ... But what that tends to foster is a technology centric attitude about what devops is all about. ... That's half the reason we got into this field in the first place, and it's a really fun thing to be able to do, but it's not sufficient.

There's a big focus on tools.

DevOps doesn't equal CI/CD and DevOps doesn't equal automate the testing.

Let's say political challenge that you have to convince in a way that DevOps is not purely technical and that it's must be part of an academy curriculum.","Students have a prior concept that DevOps is restricted to the use of tools, not being interested in the cultural part of DevOps.

Difficulty explaining to students that DevOps is not just about tools.

Difficulty in explaining to students that DevOps is not just tooling, it encompasses the cultural part.

Difficulty adjusting students' expectations, as most of them just want to use new tools.

Difficulty in being able to explain to the student that DevOps does not involve only the tooling part.

Difficulty breaking the student perspective that DevOps is just tools and automation.

Students came to course focused in the tools.

So many people only focus on the tools side from DevOps.

DevOps is not only CI/CD and automation.

Convince people that DevOps is not purely technical and it must be part of an academy curriculum.",It's hard to show to students that DevOps is not all about tooling.,Student disinterest in cultural aspects of DevOps.,devops concepts,yes,7,tool; focus,"The student hopes to [...] learn that killer tool, which will help in the practical context of his life, whether in the process of development, security or operations. [...] wants to know the tools much more than understand the DevOps culture.

The first challenge is to decouple the idea that about DevOps [...] to deliver a formula.

The students arrive with the idea that they have a set of X tools to deliver in their daily lives and tools only a piece and a small piece within the delivery process, which is more cultural and more personal than tooling, huh? Organizational even, I would say.

It is to set expectations when he signs up that the entire course is not tooling and that no, we will not use the best stacks in the market.

Give this view that DevOps is not just a tool [...] It is very much in line with agile movement.

Trying to show that DevOps is not just tools, trying to make people understand this and trying to change it during the class, so trying as best as possible to make people understand, right? That they will end up having to change the culture of the environment, right? The processes, the way they organize themselves.

 People coming through the programs want to play with technology. ... But what that tends to foster is a technology centric attitude about what devops is all about. ... That's half the reason we got into this field in the first place, and it's a really fun thing to be able to do, but it's not sufficient.

There's a big focus on tools.

DevOps doesn't equal CI/CD and DevOps doesn't equal automate the testing.

Let's say political challenge that you have to convince in a way that DevOps is not purely technical and that it's must be part of an academy curriculum. Students have a prior concept that DevOps is restricted to the use of tools, not being interested in the cultural part of DevOps.

Difficulty explaining to students that DevOps is not just about tools.

Difficulty in explaining to students that DevOps is not just tooling, it encompasses the cultural part.

Difficulty adjusting students' expectations, as most of them just want to use new tools.

Difficulty in being able to explain to the student that DevOps does not involve only the tooling part.

Difficulty breaking the student perspective that DevOps is just tools and automation.

Students came to course focused in the tools.

So many people only focus on the tools side from DevOps.

DevOps is not only CI/CD and automation.

Convince people that DevOps is not purely technical and it must be part of an academy curriculum. It's hard to show to students that DevOps is not all about tooling. tool; focus"
28,"[...] in many cases the assessment is still based on the traditional test model or on some fixed assessment process, with an X list of questions or something similar.",Difficulty dealing with assessments based on a traditional test model.,,Difficulty in using assessments with traditional tests,assessment,yes,1,traditional; assessment; test; exam; quiz; popular; evaluation; standard; model,"[...] in many cases the assessment is still based on the traditional test model or on some fixed assessment process, with an X list of questions or something similar. Difficulty dealing with assessments based on a traditional test model.  traditional; assessment; test; exam; quiz; popular; evaluation; standard; model"
29,"The DevOps concept, it's very open, right, it encompasses different areas between development, security and operations.

You cannot teach DevOps without experiencing DevOps, right? You cannot read in a book and want to teach DevOps because DevOps is a very practical discipline. There is a lot that happens in practice. So, there is a lot of doubt, from concepts, about Kubernetes configuration error, for example. So, these are things that we have to deal with [...] So, venturing out to teach DevOps, parachuting, that is a big challenge because the level of knowledge you will have to collect for this is quite diverse and multidisciplinary.","The teaching of devops is multidisciplinary, covering different areas such as development, safety and operation.

There is a very diverse and multidisciplinary knowledge in teaching DevOps.",The multidiscuplinary of DevOps is hard to deal with.,Wide coverage of diverse areas by DevOps teaching.,curriculum,yes,2,multidisciplinary; curriculum; syllabus,"The DevOps concept, it's very open, right, it encompasses different areas between development, security and operations.

You cannot teach DevOps without experiencing DevOps, right? You cannot read in a book and want to teach DevOps because DevOps is a very practical discipline. There is a lot that happens in practice. So, there is a lot of doubt, from concepts, about Kubernetes configuration error, for example. So, these are things that we have to deal with [...] So, venturing out to teach DevOps, parachuting, that is a big challenge because the level of knowledge you will have to collect for this is quite diverse and multidisciplinary. The teaching of devops is multidisciplinary, covering different areas such as development, safety and operation.

There is a very diverse and multidisciplinary knowledge in teaching DevOps. The multidiscuplinary of DevOps is hard to deal with. multidisciplinary; curriculum; syllabus"
30,"If the student is in a context where he has always been in the academic area or he has never had practical contact with any of these features of software development, it is likely that it will be much more challenging for him.

If the student is in a context where he has always been in the academic area, or he has never had practical contact with any of these features of software development, [...] for the teacher, it becomes much more challenging to teach the DevOps concept this student profile.

The main challenge remain the able to, to, to teach the fundamentals. I think that this type, of course almost requires some type of industrial experience, because if you've not been in contact with the industry, there are so many things that are, um, more difficult to, to, to eally understand.

Teaching this course, it's possible to teach it with students with no experience, but it makes the thing like this. I've been trying to have interactions with the students about, I know certain topics become quite difficult because they cannot relate it to anything concrete.

It didn't work for some specific tools that they wanted to present using this a katacoda, uh, website.

I mean, there are students, so they are, they are not in the industry yet. And so that's, that would be the main part to make the student understand that it's, it's not about configuring Jenkins or having Docker running on their computer.

When you're talking to freshmen and they have no idea what's happening. Like they have a superficial idea of what's happening. Then it's like finding a way to explain them why the mindset is important.","There is a greater difficulty in understanding devops by students whose background is more academic, who have no experience in software development or direct operation.

It is difficult to teach students with more academic training that have no experience in software development or operation directly.

It is difficult to teach DevOps concepts without industry experience.

It is difficult to teach students with no industrial experience.

The students don't have the proper background to listen the lecture of people from the industry.

The students without industry experience can have difficulty to understand that DevOps is much more than using tools.

It is difficult to explain the importance of DevOps mindset to students that have a superficial idea of what is happening to industry.",Teach DevOps concepts to students no industrial experience is hard.,Greater difficulty in understanding by students with little experience in Dev and Ops,devops concepts,yes,4,industry; concept; theory,"If the student is in a context where he has always been in the academic area or he has never had practical contact with any of these features of software development, it is likely that it will be much more challenging for him.

If the student is in a context where he has always been in the academic area, or he has never had practical contact with any of these features of software development, [...] for the teacher, it becomes much more challenging to teach the DevOps concept this student profile.

The main challenge remain the able to, to, to teach the fundamentals. I think that this type, of course almost requires some type of industrial experience, because if you've not been in contact with the industry, there are so many things that are, um, more difficult to, to, to eally understand.

Teaching this course, it's possible to teach it with students with no experience, but it makes the thing like this. I've been trying to have interactions with the students about, I know certain topics become quite difficult because they cannot relate it to anything concrete.

It didn't work for some specific tools that they wanted to present using this a katacoda, uh, website.

I mean, there are students, so they are, they are not in the industry yet. And so that's, that would be the main part to make the student understand that it's, it's not about configuring Jenkins or having Docker running on their computer.

When you're talking to freshmen and they have no idea what's happening. Like they have a superficial idea of what's happening. Then it's like finding a way to explain them why the mindset is important. There is a greater difficulty in understanding devops by students whose background is more academic, who have no experience in software development or direct operation.

It is difficult to teach students with more academic training that have no experience in software development or operation directly.

It is difficult to teach DevOps concepts without industry experience.

It is difficult to teach students with no industrial experience.

The students don't have the proper background to listen the lecture of people from the industry.

The students without industry experience can have difficulty to understand that DevOps is much more than using tools.

It is difficult to explain the importance of DevOps mindset to students that have a superficial idea of what is happening to industry. Teach DevOps concepts to students no industrial experience is hard. industry; concept; theory"
31,"DevSecOps [...] is the type of discipline that requires strong knowledge in two areas, both distinct, in the security area, but at the same time in the development area to be able to find the link between the two and then yes, get to what the student.

The second point that the second challenge would be [...] skills.  I'm working on software engineering and I'm working on how to build software since the gate.","The teacher needs good technical knowledge in the areas of security (especially vulnerability management) and systems development to teach DevSecOps.

Skills to teach DevOps are challeging.",Skills to teach DevOps are challeging.,Teacher background necessary in DevSecOps teaching: security and development,class preparation,no,2,technology; knowledge; skill; teaching; technique; training; preparation,"DevSecOps [...] is the type of discipline that requires strong knowledge in two areas, both distinct, in the security area, but at the same time in the development area to be able to find the link between the two and then yes, get to what the student.

The second point that the second challenge would be [...] skills.  I'm working on software engineering and I'm working on how to build software since the gate. The teacher needs good technical knowledge in the areas of security (especially vulnerability management) and systems development to teach DevSecOps.

Skills to teach DevOps are challeging. Skills to teach DevOps are challeging. technology; knowledge; skill; teaching; technique; training; preparation"
32,"The second challenge is people with different experiences [...] you have mixed classes, so at a point in the course where you talk about a specific programming language to give an example. Some are more familiar than others. [...] So, knowing how to deal with these differences to make the course pleasant for everyone and comfortable for everyone, this is a great challenge.

We have a standard agreement, not an agreement. It is a convention that we have which is the following, people are different, see? [...] they have different backgrounds, they have different life stories, experiences that marked them in different ways.

In both classes that I taught [...], there was a challenge of class heterogeneity. You have very proficient people in the development and have no idea about the server, Linux and environment configuration, tools, the other spectrum. People who came from operational, System admin itself is not so proficient in the programming part, in code.

Each student in the class brings a different experience, different challenges, and trying to generalize this is more complicated.

One of the challenges is how do you teach people from these different backgrounds [...]  there is so much technology that comes together in DevOps, that the challenge is how do you get everyone up to speed on an even right? So that we can all move forward together and learn together. So, so that's a big challenge.

Some of them do have a lot of programming and are fairly mature, but because when we recruit, they be coming from different schools.","Difficulty in knowing how to deal with groups of students who have very different experiences.

Students in a class have different backgrounds, life stories and experiences.

Difficulty in preparing classes with students at different levels of proficiency in development and operation.

Dealing with the different experiences and perspectives of each student.

It's hard to teach people with different backgrounds.

Students have different backgrouds.",It's challeging to deal with students having different backgrounds.,Difficulty in collaboration with groups of students who have very different experiences,strategies in course execution,no,5,knowledge; level; background; experience; history; skill; technique; strategy; execution,"The second challenge is people with different experiences [...] you have mixed classes, so at a point in the course where you talk about a specific programming language to give an example. Some are more familiar than others. [...] So, knowing how to deal with these differences to make the course pleasant for everyone and comfortable for everyone, this is a great challenge.

We have a standard agreement, not an agreement. It is a convention that we have which is the following, people are different, see? [...] they have different backgrounds, they have different life stories, experiences that marked them in different ways.

In both classes that I taught [...], there was a challenge of class heterogeneity. You have very proficient people in the development and have no idea about the server, Linux and environment configuration, tools, the other spectrum. People who came from operational, System admin itself is not so proficient in the programming part, in code.

Each student in the class brings a different experience, different challenges, and trying to generalize this is more complicated.

One of the challenges is how do you teach people from these different backgrounds [...]  there is so much technology that comes together in DevOps, that the challenge is how do you get everyone up to speed on an even right? So that we can all move forward together and learn together. So, so that's a big challenge.

Some of them do have a lot of programming and are fairly mature, but because when we recruit, they be coming from different schools. Difficulty in knowing how to deal with groups of students who have very different experiences.

Students in a class have different backgrounds, life stories and experiences.

Difficulty in preparing classes with students at different levels of proficiency in development and operation.

Dealing with the different experiences and perspectives of each student.

It's hard to teach people with different backgrounds.

Students have different backgrouds. It's challeging to deal with students having different backgrounds. knowledge; level; background; experience; history; skill; technique; strategy; execution"
27,"As people are remote, basically for training, there are several factors that influence the didactics. The home environment, even, that the person, sometimes, does not live alone, or has sons, daughters. This is not a problem for people, for me, a teacher, as a teacher, but for a person, sometimes, you can't open a camera. You can't do one, so dealing with these differences within the pandemic is important. It's not a problem, but it's a point of e also the differences from the infrastructure that the person has to take the course. A machine a little newer, older, pre-configured for work, there are companies that already have the machine ready for day to day and the course uses other configurations which are challenges that we have with the students to talk, look, I need version X, and the person does not have the installation permission.
","Difficulties in remote work with students: privacy, availability, infrastructure differences, environment configuration.",,"Difficulty in remote work with students: privacy, availability, infrastructure difference, environment configuration.",strategies in course execution,yes,1,remote; strategy; execution,"As people are remote, basically for training, there are several factors that influence the didactics. The home environment, even, that the person, sometimes, does not live alone, or has sons, daughters. This is not a problem for people, for me, a teacher, as a teacher, but for a person, sometimes, you can't open a camera. You can't do one, so dealing with these differences within the pandemic is important. It's not a problem, but it's a point of e also the differences from the infrastructure that the person has to take the course. A machine a little newer, older, pre-configured for work, there are companies that already have the machine ready for day to day and the course uses other configurations which are challenges that we have with the students to talk, look, I need version X, and the person does not have the installation permission.
 Difficulties in remote work with students: privacy, availability, infrastructure differences, environment configuration.  remote; strategy; execution"
33,"Another challenge too, that [...] we changed our model from in-person to online, live. And then, we had this problem, right, that in the course there is a project, with certain technologies, but, in our case, we already have a laboratory that has everything installed and configured. So, in this case, man, now, it's the student who's going to do his homework, right, how is he going to configure the infrastructure with that specific project and without having a headache, it won't interfere in class.",Students find it difficult to configure the tools on their own machines in remote teaching mode.,,difficult tools configuration on remote teaching,tool / technology,no,1,remote; tool; configuration; technology,"Another challenge too, that [...] we changed our model from in-person to online, live. And then, we had this problem, right, that in the course there is a project, with certain technologies, but, in our case, we already have a laboratory that has everything installed and configured. So, in this case, man, now, it's the student who's going to do his homework, right, how is he going to configure the infrastructure with that specific project and without having a headache, it won't interfere in class. Students find it difficult to configure the tools on their own machines in remote teaching mode.  remote; tool; configuration; technology"
35,"The DevOps concept, it's very open, right, it encompasses different areas between development, security and operations.

The expectation of students to deliver something, by hand, because they are technical people, is to be able to balance what is concept and what is practical and show the importance, the value of what you are explaining.

This part of culture and such, which is, let us say, more boring, right? That people go there wanting to see tools, right? So, how to balance, right? Talk a little non-technical things with technical things.

The challenge is this: having the non-technical part with the technical part, pondering both, and addressing these main topics, right?

The point is how do we adapt DevOps in concept in a way where we, we are still take keeping in mind the theoretical foundation, but where make it making it interesting from an industry or practical perspective.

The challenge is, in my opinion, is, is to, to strike this balance between, between, um, concreteness, like work with technologies, because essentially, uh, DevOps is yes, a philosophy. 

To strike a balance. The students are of course, very keen about the products and telemetry about the product and, and, and, and building Docker containers. And, but what I want them to reflect, I mean, the whole goal of DevOps is to make the process effective, very, very efficient.

There's a gap between what we can experiment during the course, what can be presented during the invited lecture from the industry, for example, those kinds of things and how, how whole, the things are connected together.","Difficulty in making the association between theory and practice.

Difficulty balancing theory foundations and make them interesting in the practice.

Difficulty in balancing the teaching of theory (culture) and practice (tools).

Challenge to balance theory and practice.

It's challenging to teach DevOps concepts that have theoretical foundations and make them interesting from the industry perspective.

It is difficult to balance the concreteness (technologies) and the philosophy (concepts) of DevOps.

It is difficult to balance the usage of tools and making the DevOps process effective and efficient.

There is a gap about how to connect the lectures with the labs.",It's challeging to balance DevOps theory and practice.,It's challeging to balance DevOps theory and practice.,devops concepts,no,6,theory; practice; culture; tool; concept,"The DevOps concept, it's very open, right, it encompasses different areas between development, security and operations.

The expectation of students to deliver something, by hand, because they are technical people, is to be able to balance what is concept and what is practical and show the importance, the value of what you are explaining.

This part of culture and such, which is, let us say, more boring, right? That people go there wanting to see tools, right? So, how to balance, right? Talk a little non-technical things with technical things.

The challenge is this: having the non-technical part with the technical part, pondering both, and addressing these main topics, right?

The point is how do we adapt DevOps in concept in a way where we, we are still take keeping in mind the theoretical foundation, but where make it making it interesting from an industry or practical perspective.

The challenge is, in my opinion, is, is to, to strike this balance between, between, um, concreteness, like work with technologies, because essentially, uh, DevOps is yes, a philosophy. 

To strike a balance. The students are of course, very keen about the products and telemetry about the product and, and, and, and building Docker containers. And, but what I want them to reflect, I mean, the whole goal of DevOps is to make the process effective, very, very efficient.

There's a gap between what we can experiment during the course, what can be presented during the invited lecture from the industry, for example, those kinds of things and how, how whole, the things are connected together. Difficulty in making the association between theory and practice.

Difficulty balancing theory foundations and make them interesting in the practice.

Difficulty in balancing the teaching of theory (culture) and practice (tools).

Challenge to balance theory and practice.

It's challenging to teach DevOps concepts that have theoretical foundations and make them interesting from the industry perspective.

It is difficult to balance the concreteness (technologies) and the philosophy (concepts) of DevOps.

It is difficult to balance the usage of tools and making the DevOps process effective and efficient.

There is a gap about how to connect the lectures with the labs. It's challeging to balance DevOps theory and practice. theory; practice; culture; tool; concept"
