Interview,Recommendation,Interview Quotes,Abstracts
5,5,"From a practical point of view, I simply pass on the exercise.

I think that proof would not be a nice deal, but it would be more or less certification from AWS, for example, from Azure, Google, and that is not the purpose. [...] Taking the test, written, open, I do not like it, I do not like the test model as an assessment, I do not think it is cool, I prefer to work with more practical things.","Evaluate through practical exercises.

The assessment must be practical."
7,5,You propose a practical challenge to solve a problem. I think the students end up learning more.,Evaluate through practical challenges.
1,7,I think a potential candidate is GNS3.,The GNS3 tool is a potential candidate as a tool for teaching DevOps.
1,8,"All the DevOps tooling behind it like [...] the ansible or terraform here, or any of those other flavors of automation and deployment and stuff like that you can use.",Ansible as deployment automation tools can be used in teaching DevOps.
1,9,"For me, the approach, from the point of view of the teaching method, would be based on projects and practical activities throughout the course.

It will always be project-based.

Being able to evaluate the actions has to be a script of practical actions that the student has to carry out, and you will evaluate while that student is doing that there.","Incremental teaching method based on projects and practical activities.

DevOps teaching should be project-based.

Create script for practical devops activities."
2,9,"So, I think it's more fruitful, didactically, pedagogically, teaching in this way, with the most practical approach.",Use a practical approach.
3,9,"Development classes [...] want to understand better the issue of DevOps related to continuous delivery processes or how it translates into practice and into delivery tools and models that streamline application building.

Teach DevOps [...] how it applies in practice.","Teach continuous delivery in a more practical context for development classes, using tools and delivery models.

Teach devops in a practical way by applying it."
5,9,"I cannot see a discipline, a DevOps teaching that is not hands-on [...] That is not getting hands-on and making people at least exercise the tools.",DevOps disciplines should use hands-on activities.
6,9,"There is much technology on the market [...] you cannot cover everything, right? However, at the same time, just giving the concept, I do not think it is enough. So you have to make a choice. I will teach this here.

It needed to be some practical project [...] Not to be just in the theory part.","Teaching must be practical, not just theoretical.

Teaching needs a practical project, not just theoretical teaching."
7,9,"You cannot teach DevOps only in theory. You have to experience it. You have to have practical experimentation for that.

Build this entire journey based on practical, incremental activities or missions that are all correlated so that the lessons learned during these practical activities and revisiting the theory of knowledge can flow into a project that involves a set of decision-making, which also in addition to the subjects theoretically covered in the room.","Teaching devops should be practical, not just theoretical.

Build an incremental teaching journey based on activities and missions, always combining practical activities with theoretical knowledge."
10,9,"I've tried to be very incremental. Um, first teach the value of tests, then write the script to build everything on your desk. You don't need any you're alone. ... Then break it down into several components and build them one by one, then put an Artifactory in the middle. So you have the dependency. ... So you can imagine that each people in the group is like a different team in the world.",Try to be very incremental. Everything on your desk first. Splits into several components. Build them one by one. Start working in group.
1,10,"The practice that should occupy eighty percent of the class there, at least.

The practical discipline has a balance between concept and practice, with the practice being the most important.

The concepts need to be objectively presented, but there is not much discussion about.","The practical part must occupy at least 80% of the class.

Balance the presentation of the concepts and the practicals.

Do not delve so deeply into discussions about the theoretical part of devops."
8,10,"My classes are about an hour lecture. And then the other hour and a half is lab it's hands-on, you know, I give them a concept, let's go do it. And by doing it, that's where it really sticks.",Teach each DevOps concept using one hour lecture followed by one hour and a half lab hands-on.
10,10,"First year I did a lot of concept on the whiteboard, um, and then went to exercise for the students to practice. It's not efficient.

That's why we build a class where we have a ratio of about one hour of classroom concept teaching on the whiteboard or something at three hours where they actually type on the keyboard of practical session. I think that's important. Otherwise they don't see it.","Is not efficient to have more theoretical part than practice part during the course.

One hour of classrom concept teaching and three hours of practical session."
11,10,"So all of us, we covered a bit in really in the course, but also the, I mean, the lectures, but also they practice that in the lab.",Make use of labs and lectures.
1,11,"The strategy we used was to divide the workload in half, divide the workload in half [...] and occupy half of this workload with content that is more suited to the area of networks [...] And half of this with the one with content that has more aptitude for the programming area.",Divide the workload of subjects that are related to networking and programming.
2,11,"I believe that for DevOps, you have this balance [...] if you go to a course, that the focus is more development [...] Taking students there to see the other side [...] See Ops and the guys over there from Ops when you can have the opportunity to see more of the Dev too.",Seeking balance in teaching development and operation.
1,12,"I had to delegate this responsibility to the student.

When you do not have resources in the structure you are linked to, as an institution, you have to delegate that the student really finds his ways.","Delegating the responsibility for finding adequate infrastructure for the student when it is not possible to obtain the necessary resources from the institution.

Delegate responsibility to the student."
2,13,"I like to base it on a textbook because I think a sequence is evident for the students, right? We can even choose some chapters, even making an essential part of this material [...] we research several things to set up our class. Still, having a backbone formed by literature I think it's always important.",Using a textbook as a basis and to give students a better idea of the sequence of the course contents.
12,13," I was looking for books to use. And, um, you know, I started to look at the books from Jane Kim. Um, and essentially I found this DevOps handbook, which has really not written as a textbook, but it's, it covers it's, it's built around the three ways of DevOps. So the first way is the notion of flow. The second way is the notion of, um, feedback. And the third way is continual learning and experimentation.

So this book [DevOps Handbook] is very well done in this sense [...] it goes to the foundations of devops and gets to the different key ideas, right?

The lectures, um, for the first part it's okay. I think for, until the midterm to have just get essentially through the book.

The book has a lot of case study and examples like Facebook, Google, LinkedIn, uh, Netflix.","Take Gene Kim's book DevOps Handbook as a reference to prepare a DevOps class.

Devops Handbook goes to the foundations of DevOps and gets to the different key ideas.

Use DevOps Handbook to create the lectures.

Find books like DevOps Handbook that have industrial case studies about Facebook, Google, etc."
2,14,"There are a [...] series of features to be developed, and [...] the student has been trained for this. But other aspects related more to putting the system into production, to be careful [...] after the procedure is operational, not focusing on factors related to the system's functionalities anymore, but directing to non-functional aspects, then the students they need to have a better sense of it.",Work on improving students' skills related to non-functional requirements.
2,15,"The microservices tool is one of the tools I have been using with them. A device, an environment in which we put the students' solutions there and they can see more of the Continuous Integration part there.

These systems being made available and then with the creation of the DevOps tool from the IFRN cloud, the microservices system there, it was then possible for us to have this more practical view of the process as a whole. So, I have adopted it in all semesters, including, I have always asked students to work with this tool.

Having this system already in the air, I also believe that it is another gain, why? Because as you advance in the themes, you can already put look, this aspect here that we are working on, you will have already contemplated in the system through this, this and this.","Use of a learning tool to facilitate understanding of the concept of Continuous Integration.

Using a learning tool helps in DevOps teaching.

Using a learning tool helps in DevOps teaching."
6,15,"When it comes to teaching devops concepts, like, continuous integration, there will be a tool.",Use tools while explaining the continuous integration concept.
2,16,"The importance of actually having a discipline like this in the curriculum talking about these themes.

We are going through a matrix reformulation process,[...] this part of the workload and this discipline, really, the usefulness and one of the defenses that were made, was precisely that the discipline existed in the course, precisely because at another time, these topics would not be considered. So that's why it's important to have a discipline like that in the curriculum talking about these themes.

In a course like ours, in development, having a discipline like this, I think it is important indeed.
","DevOps deserves a discipline in the curriculum.

Be concerned with the course's curriculum, maintaining and creating DevOps disciplines.

DevOps deserves a discipline in the curriculum of courses focused on software development."
2,17,"We can assess teamwork in students, like those who are collaborating, those who are more overloaded, those who are perhaps less overloaded, those who develop and deliver more features, those who do not cooperate with teamwork.",Evaluate level of participation and difficulty of students in teamwork.
6,17,"The evaluation part [...] the recommendation would be to try to come up [...] some project or some challenge in the project itself that involves collaboration between people. Be able to divide the class there, the students into groups and each one will attack a problem and then everything has to come together, right? So, watch them.","Assess students through project and group exercises, more specifically the collaboration of each one within the group."
2,18,We can monitor this part of the evaluation a lot due to their activity. So part of it is the cloud system tool that allows us to do this monitoring.,Monitoring of students through activities in a learning support environment.
2,19,"Usually, they already arrive with the system, sometimes deployed in another environment, which is quite common for them to use this environment. Then we have to bring them in, asking them to use ours.",Ask students to adopt the tools used by instructors.
2,20,"Suppose the course is a development course or one that involves the operation part. In that case, it is essential to have a discipline that centralizes this information, a domain, perhaps, later on, that gathers these concepts, already preparing the student more for the market.[...] a rather considerable workload to have this dynamic with the students.",A discipline must have a considerable workload to centralize and harmonize development and operation information.
2,21,"They use the system, and I always ask them to socialize. Now, of more remote education, we're doing that they associate what they did.  And when we are at this moment of socialization, the students can take advantage of the gain and knowledge that another team had in an aspect that, at times, they had not noticed.",Socializing knowledge acquired in practical activities is essential for learning.
8,21," I teach them about social coding.

It's tough to get the students to be more social if you will, in their coding practices and do pair programming, uh, and follow the, get feature branch workflow. ","Teach social coding.

Get the students to be more social in their coding practices and do pair programming."
2,22,"They choose to [...] put this system on the air for a customer to see, right? In this aspect, the client is the teachers themselves who are evaluating.",Adopt a more professional approach in which teachers act as clients.
2,23,"The aspects that we address about continuous integration, [...] use of the tools we use in the environment, on a day-to-day basis, facilitate development that speeds up delivery; this is one of the topics we have. In the discipline, I believe that these themes should be part of their curriculum; they should contact this theme there.",The Continuous Integration and industry tools must be in the curricula.
2,24,"But as there isn't, we find different materials; we have several publications.","Combine the various materials and publications available to make up for the lack of a unified, complete, and high-level material."
2,25,"[...] With the addition of our Project of Software Development team of professor Sales, he has access, so, more within the tool, he already knows the most diverse aspects. It was already possible for us to solve several difficulties.[...]","When using a tool to help teach, you must have a good command of it and the necessary permissions/accompaniment of someone with such permissions to deal well with the possible difficulties during its use in the discipline."
3,26,The same DevOps discipline now applies at the institution where I teach concerning classes focused on security and vulnerability management and courses focused on application development and construction.,You can use the same discipline of DevOps for operation groups focused on safety and development groups.
3,27,"In DevOps [...], the security teams are much more in understanding what it represents from the point of view of vulnerability management and architecture, from the network concerning the cloud.","Teach the part of cloud vulnerability, architecture, and network management to the security classes in DevOps."
3,29,"The recommendation is to understand the learning context of the class.

Adapt the menu according to the student profile you have.","Identify the most compatible DevOps scope for each class.

Adapt the course according to the profile of students."
3,30,"Having a unique mechanism and an initial step, the final step you want to reach within this test, makes it much easier when you teach, when you do, especially for examples.

Explain how the methodology can be applied, with examples and even tools.","Make an example to the student in a practical context from the initial stage to the final step.

During the explanation of how to apply devops methodology, make use of example including tools."
4,30,I am not going to deliver a ready-made recipe. I am going to use different tools. diverse methodologies that are also tools for them to try to apply within their process.,Use different tools and methodologies.
11,30,"The lab is like in the lab, because it's a very practical ...   we've implemented an application, uh, a web application, which, uh, in, currently we are using the application we use is a banking application. It is the online banking where people can go in and create an account or transfer between accounts and do all those kind of thing.",Provide sample application in the labs.
12,30,"In some topics, maybe it's introducing a bit more. So say that you're getting in the topic in the, in the lecture where, um, containers are, are relevant and then deployment is relevant. Then maybe the way is to discuss a bit more maybe than use Kubernetes and Docker, give concrete examples and stuff like that that supports the reading that they have done.",Show concrete examples when you are presenting some tool like Kubernetes and Docker.
3,32,"Present concepts that are well established in the community, such as axes, [...] in the DevOps process.","Introduce well-established concepts by the DevOps community, such as the DevOps pipeline process."
9,32,I simply want them to be able to set up some kind of a pipeline and understand how it works.,Teach how to set up a pipeline and explain how it works.
3,33,"Present [...] cases on how this translates, [...] eliminating the silos between operations and development.

Identify the scenarios, Google's case. At Google, they have a solid concept of DevOps and the idea of the role of, for example, the SRE professional in terms of environment resilience within the DevOps framework.","Present the use case of devops, for example, the elimination of silos among the development team.

Identify the market use cases of devops such as the Google case and the relationship between DevOps and the SRE professional to illustrate the importance of DevOps concepts."
12,33,"The students were still very satisfied with the course [...] we built on the labs of last summer, but may that kind of a case study kind of fixtures case study and the students pretty much like it.

The lectures are more the, you know, sharing the experience and, and zooming in and some of the concepts.","Try to use case study together labs.

Use lectures to show case studies and emphasize in some of the DevOps concepts."
3,34,Always start with culture before moving on to teaching or tool-based demonstration.,Start teaching DevOps from the culture. Only then demonstrate with tools.
3,35,"Build a cohesive [...] laboratory in a specific setting that can better demonstrate the concept being taught there.

So, the recommendation is to abuse the use of online solutions, which facilitate this process, but at the same time, stop the journey [...] So, the recommendation is to abuse the use of online solutions, which facilitate this process, but at the same time, stop the journey.","Delimit a specific set of tools to build a scenario in order to demonstrate a concept to be taught.

Standardize the use of tools in a well-defined setting."
3,36,"If it's a case where I don't have access to almost anything, I need to go to a cloud to take a class with the student, even if it doesn't involve the course itself. I need to do everything remote.","For a scenario with limited resources, it is recommended to make use of public cloud services."
7,36,"Everyone is already using Google or Amazon, with their Kubernetes environments available for you to use.","Use available cloud services (AWS, Google) with Kubernetes."
8,36,The environment setup is key. What I would love to do is have an environment in the cloud. That's always consistent. That would kind of be the best.,Do environment setup in the cloud is the best option because they are always consistent.
9,36,"The recommendation is we just get them off their local machines and get them working off cloud servers or something like that. So that at least a, you can kind of script the stuff be if it gets messed up, there's no risk. You just tear it down and build a new one.",Get students off their local machines and get them working off cloud servers.
12,36,"The third lab, that's what we do since last winter. We didn't do it last summer, did deploy on, on, on AWS. So we have, we have built accounts on Amazon, so they can go all the way.",Make the students experiment how to use a cloud provider like AWS.
14,36,"I think maybe the, um, the using external cloud services would give you the better in terms of DevOps philosophy, let's say, because then you're really pushing and you bring stuff outside of the academy ecosystem.","Using external cloud services would give you the better in terms of DevOps philosophy, because then you're really pushing and you bring stuff outside of the academy ecosystem."
3,37,Put the student in an efficient context: he can see in class a tool that he has probably seen someone using in the company or has heard of. This makes for much better immersion in class.,"Search for references from practical contexts experienced by students to easy the understanding, using popular tools."
4,37,"So, suppose someone had a more traumatic experience at such a stage of the delivery process. In that case, you know how to use it at the right time with them and impersonate with them, talk, look, as you told me in that part, a solution that might work for you, again, because there is no ready-made solution, it would be to apply this technology to try to mitigate or resolve it.

I prefer to take it out during class to show the day-to-day blocks delivered in the end. However, the recommendation is to use the infrastructure blocks to feed your course, as didactics. Do you speak, look, remember the block we had? The dependency, the software is made in Java 8, and we tried to compile a machine that had Java 15. Do you see this problem? How do we solve it? We analyze, run some process analysis frameworks because we can use any language as a tool, but use it as an experience.","During the explanations, make use of the difficulties, opinions and experiences faced by the students, pointing out solutions using Devops.

Use the difficulties with infrastructure in favor of learning, conducting discussions among students."
11,37,I spent a couple of discussing about the concepts discussing about the issues.,Promotes discussions about DevOps concepts and related issues.
3,38,"This menu will have some possibilities to create mutations in this menu because the DevOps concept is very open; right, it encompasses different areas between development, security, and operations.","Create mutations in the menu due to the breadth of DevOps encompassing the development, operation, and security part."
3,39,"This curriculum, a part of it, do you understand? With about forty percent, about sixty percent fixed, which is culture, main historical characteristics of how it came about, what does culture represent, what it changes about development processes, security operations. The changeable part is the tools, where you will apply them or what matches you to the students within the classroom in the course syllabus.",Half of the curriculum with DevOps concepts/culture. Half the curriculum with tools.
3,40,"For a project management class [...], I often had to introduce [...] based on direct analogies or analogies with other scenarios he has already encountered in the product management part to understand what I was speaking.","For project management class, it is necessary to introduce DevOps through direct analogies or using scenarios known to them during teaching."
3,41,"Always focus on culture, the tools are excellent, they attract a student, they create a practical scenario, but oh, DevOps implementation errors in practice are mainly caused by companies and professionals who do not interpret this as a culture.

More important [...] is to understand that concepts such as observability, development culture, communication, sharing are core. They are the core of what is proposed in relation to DevOps.","Emphasize the importance of the DevOps culture and propagate it.

It is important to teach concepts such as observability and other cultural aspects such as sharing and communication."
4,41,"Teach the DevOps culture: respect the individualities of your team, not looking to blame anyone but for solutions.","Teach the DevOps culture: respect the individualities of your team, not looking for blame, but for solutions."
8,41,"The only way to teach culture, the only way to experience culture is to immerse the students in the culture. [...] one of the examples I give to my students is I say, you know, I took three years of Spanish in high school and I don't speak a word of Spanish, but I bet if I spent a summer in Spain, I would come back speaking, fluent Spanish. So I tell them: this class is your summer in Spain, right? We are going to live DevOps. We're going to experience DevOps. And that's the only way you can properly teach it.

Working as an agile team and using the DevOps tools, but most importantly, living the DevOps culture.","Live DevOps and its culture is the best way to learn it.

Living DevOps culture is more important than just learning DevOps tools."
12,41,"Like, what do you teach in a DevOps course? Like, do you teach just technologies like Kubernetes and Docker? And, and I kept saying, no, this is not why I went back to university. I don't want to be just teaching techniques and tools because these will change over time.",Don't teach a DevOps course only focusing on tools and technologies because it changes over time.
4,43,"And DevOps a lot in seeing this; they have different backgrounds, have other life stories, experiences that marked them in different ways and knowing when to present a new tool, listen to what these people have.","We seek a communication between students and teachers, where attention is paid to the students' opinions."
8,43,"So I let them know that if you asked me the same question a second time, I promise I won't answer it the same way. I'll try to find some different way to make that connection with you. Right? So that you understand it, given the background that you have. Given the skills that you have. Uh, so again, I try to immerse them in this culture.",Teaching customized based on students background.
4,44,Nor use VM virtual machines because the virtual machine demands hardware resources. And it's not always that you have availability to upload two virtual machines on the student's device.,"Avoid using virtual machines because they demand hardware resources, which are not always available on the students' devices."
1,45,"All the devops tooling behind it like [...] the ansible or terraform here, or any of those other flavors of automaters and deployment and stuff like that you can use.",Terraform as a deployment automation tool can be used in teaching devops.
4,45,"I am going to upload the environment here on AWS using Terraform. So, provision the students' machines with TerraForm, explain to the students what you are doing, at the right time, on schedule, but decouple the need for the infrastructure.",Use Terraform as a provisioning tool (Infrastructure as Code).
4,46,"To put your hand on something, at least once every, depends a lot [...] on the schedule, but every, I'll put it every eight hours is a very subjective metric, but if you give something practical every eight hours with examples for the student to interact, so you don't stay in a lecture for hours on end talking, it's essential to know how to divide and balance.

He has up to twenty, twenty-five minutes, he has your attention. So, if you cannot break that, alternate the tone of voice you speak, interact with him. If you just talk, you quickly lose the student after twenty minutes.

We need to adapt to the environment and try, every twenty to thirty minutes, to interact with the student so that he does something to keep his attention [...] Always propose challenges.","Use practical examples regularly for the student to interact.

Interact with the student and break the tone of voice every 20 minutes, inhibiting their loss of attention.

Interact with the student to keep him alert, proposing challenges, for example."
4,48,"So, I think it's essential for you to break both the tone of voice, the didactics you're using, put examples, you'll explain something theoretical, like Lean, for example, does an exercise that simulates the Lean process, not in software, it can even be with software, it can be with blocks, use Trello, interact with the student because if you spend more than twenty minutes talking, anyway, any situation, even in a typical lecture, you lose the student, you lose the audience.","Use examples with students to teach theory. For instance, we are using blocks or Trello to teach Lean."
4,49,"Suppose it's a class that, specifically, we were given the needs and characteristics before, such as access limitations, limited software installation on the machine. In that case, I prepare the class, and we have the schedule as a whole, which is ready; it has a beginning, middle, and an end.","Seek to know in advance the needs and limitations of the class, such as installing software, for example, to create a more efficient schedule."
5,49,"If you are going to teach a software build class, for example, or unit testing, you need to assume that your class is in a certain place, let us say. You need to assume that your class is made up of developers, has a bit of knowledge and such, or you need to assume that your class does not have that much experience.","Identify the students' initial level of knowledge to do the course. For example, check if students can run unit tests that will be used in the software build class."
4,51,"If it's a mixed class, we send students a document that shows them beforehand, right? What are the prerequisites for him to take the course, software, software versions, how to install, well documented.",Share course prerequisites with students in advance.
4,52,These are documents that we send in separate stages of the course [...]. We break the infrastructure documents to do the Kaisen process within Lean-to unify the documentation so that the student understands the difficulty he faced and the problem he faces daily.,"Create student support examples and guidelines, breaks into parts to go through the steps gradually."
10,52,"But it's been billed according to the right guidelines that we want them to use. So they can borrow heavily from the sample. They can see sample testifies, sample integration test, sample Docker files, componentization, et cetera.",Create examples and guidelines to help students develop their solution based on it.
12,52,"We're building a couple of tutorials so that, you know, the ones that have less experience with certainly the testing can look at it.",We're building a couple of tutorials so that the ones that have less experience can look at it.
4,53,So we break the infrastructure documents to do the Kaisen process within Lean-to unify the documentation so that the student understands the difficulty he faced and the difficulty he will meet daily.,Simulate real problems that the student will likely face in their daily lives.
11,53,"So we employ someone in our team, a couple of people who work on implementing that, and we created some issues in the application, like some bugs.",Try to simulate a real scenario employing someone in the group to insert issues and bugs in students project.
4,54,"From a didactic point of view, we leave one or two hours before each day; there is a specific infra team to answer any student's doubts.",There is a specific support team to answer students' questions about the related infrastructure part.
4,55,"Realize how much you deviate because the student has a particular problem and loses his didactics a little. So, knowing how to limit it too, then work with the student, talk, look, and talk more calmly, because this situation is particular. There has to be a breakpoint because otherwise, you'll lose the other students.","Avoid messing around with specific problems faced by students, dealing in a personalized way at the right time."
4,56,A task tracking tool. Then it can be Notion or Trello. I think it's essential.,Use a task tracking tool like Trello or Notion.
4,57,"There must always be two tools, the stream that would be the zoom, Google Meet, any device that does that, Webex I don't know, it depends on the company.","Use a streaming tool like Zoom, Google Meet, or Webex in remote learning scenario."
8,57,Because of the remote learning  [...] I've been teaching my classes on zoom.,Use Zoom in remote learning scenario.
4,58,"I prefer Notion even though I work for Trello's company; I prefer Notion for a reason. I can export it in Markdown and directly version all documentation. So, for each day of the course, all the commands that we run or the additional content, I list them, interact with them, and interact together.","The Notion tool allows exporting to Markdown, enabling the versioning of documentation for each day of the course: all executed commands and additional content."
4,59,"And a code repository, you can GitLab, Github, which you can share with students, this situation.",Use a code repository tool like Gitlab or Github.
12,59,"They use GitHub. .. The only thing we really need is that the students give us, uh, access to their accounts.",Use Github with access to students accounts repositories.
13,59,"This course has a very specific structure, which is not usual. Uh, the structure is that, uh, everything. Um, I think you have access to our GitHub repository and everything is, uh, available.

Everything in this course was, uh, was, uh, done through the GitHub repository, there are many issues, there are many pull requests and the discussions between TAs and the students and grading everything is there.","Make public access the content of the course using the GitHub.

Use Github to record grading, pull requests and discussions between teacher assistants and the students."
14,59,"The student had to have the code that goes so git as a version control system, uh, GitHub GitLab, the, we had a Bitbucket on-premise also, uh, deployed inside the school.","Use github, gitlab or bitbucket as version control system tools adopted by the course."
4,60,"We usually use Jenkins as an integration tool because it's open-source, it's everywhere, despite having other devices that do the job even better, but it's spread out, it's ancient.

The software [...] built with Jenkins.","Use a Continuous Integration tool. in particular, Jenkins is open source and very widespread. 

Use Jenkins to do continuous integration."
5,60,"Jenkins, you do not pay anything, you install it on your server, and it has gone.",Use Jenkins.
10,60,"They need Jenkins. So either you tell them to go install Jenkins, or what I've done is I say, Hey, here's a Docker image for Jenkins.

Now I realize every day that I need testing and continuous, I mean, Jenkins is my friend.","Uses Jenkins through a Docker image.

Jenkins can be chosen as DevOps tool."
11,60,"And, and, uh, so in terms of the continuous integration server, and there are many different services available, but can we use Jenkins because it is a, it is free and, and a lot of companies are using, but there are some other options that can be used.",Jenkins can be use as continuous integration tool because it is free and lot of companies use it.
14,60,"Let's go for something that we have more control on, uh, using for tools like Jenkins and and a stuff like Docker or Kubernetes was kind of good in a way to, uh, support the deployment and the, uh, like the building plus deployment stuff.",Use tools like Jenkins to have more control on support the deployment.
4,61,"Notion or Trello [...], you need to have a two-way tool where you and the student interact. Not a Gist, for example, because the Gist, although you can only release it because the student needs to put their feedback there too. [...] There are some tasks that we set up there, a post mortem of the process that fails; I need a feedback tool that the student can also interact with.",Notion and Trello allow student and teacher interaction in two ways. Gist does not allow it.
4,62,"So, I usually recommend it to instructors; I recommend it to students when they share it with me. Decrease the FPF rate of screen sharing because that's a lock. Zoom uses what it can if you don't limit it. So, we restrict ten FPS, for example, so that I don't consume too much of my or the student's CPU because I sometimes have to correct the exercise on his side.","Limit the zoom FPS rate to 10, avoiding excessive student and instructor resource consumption."
4,63,"It would help if you observed each student and, and then, you have to listen a lot, too, what was the difficulty he had and where he arrived. So, then, we do a final assessment per student, but our perception of it. If he did well, if he had a lot of doubt, what was the point that generated the most suspicion for him?

I tell them, I am not going to grade you on what you submit. I'm going to grade you on how you got there because getting there is not the point. It's the journey, right? That's the point. [...] I teach them that every failure is a learning opportunity. If you fail and you learn something, you get credit. It's not a failure because you've learned something, we're here to learn.","Individually assess the student's progress throughout the course.

Grade students based on their learning journey and mistakes, not on what they submit. What's important is how they get there, because every failure is learning opportunity."
8,63,"You can't just grade what they submit. You have to watch how they're working.

For the assessment, as I said, I give them a lot of leeway in the beginning. Um, they can make mistakes on their Kanban board and still get full credit if they know what the mistakes are that they made. However, in later sprints, if they make the same mistakes, then I start taking points off.  So I give them time to learn, uh, so that they feel that they can make a few mistakes, take a few risks, um, and not get penalized for it.","Grade based how the students working their tasks and not only what they are submitting.

For the assessment, the students can make mistakes in the beginning without fear of being penalized."
9,63," If there's problems, I'll tell you where there's problems and you can go fix it, go get it, right. Go, go make it, do what it's supposed to do. You know, because in industry we're, we don't just get a one and done shot. We keep at it until it works. And so I bring that to the table and I think that provides a little less pressure on students.

I tend not to get quite as hyper-focused on right versus wrong answers. ... so treating it as, as more of an assessment of maybe architecture, if you will, or an assessment of approach, as opposed to this is right, this is wrong. Uh, I think that's been fairly well received.","Students can fix their code problems. In industry, we keep coding until it works. It also provides a little less pressure on students.

Do not focus your assessment on right versus wrong answers."
12,63,"So people need to feel comfortable sharing, if they've made a mistake or not thinking that they're gonna have their headquarters. Right. Um, so when talking about that, if students have never worked in the context where, you know, people are blaming each other and stuff, it's difficult to understand I, to, to be concrete. And this is so crucial.",Create an environment that students feel comfortable with sharing about their mistakes and learn how with their teammates.
4,64,"They also assess the course at the end; we send you a link and recommend you do this, consider some topics to take the NPS; I think the NPS is the universal metric for assessment, I don't know if you put it under the puts under the radar, the Net Promoter Score, from zero to ten, where zero to zero to seven is Detractor, eight is passive, nine to ten is promoter based on a set of questions that you cannot induce the student.

When people come in to do this, this, this feedback with the students, understand, the students also talk to a person who is not me, who on the last day, I leave, it is a recommendation I give, I leave the conference to leave the students at ease, talking to this person, they make a mistake during the training and the person got annoyed, and with you inside, they will be a little, a little afraid to expose, although it is also by email.","Evaluate the course, performing an NPS (Net Promoter Score) with students.

Teachers and monitors must not be present at the time of course evaluation by students."
12,64,"You need to get the feedback, you don't get the feedback, right? So, and when we, when the students do the student evaluation, of course don't write much. So it's much easier if you can trigger this question.","Do not try to get feedback before a student assessment, as the student may feel fearful."
4,66,"If possible, record at least one training for an autoscopy at the end. See if you have any language addiction, if there were any process that didn't fit the way you imagined, that would work, because when you're talking and doing, sometimes, there's a detail that it shouldn't.",Record a training for the teacher to assess language addiction and whether the class flowed as planned.
4,67,"Mixing, theoretical and practical [...] is essential.",It is essential to mix the teaching of the theoretical part and the practical part of DevOps.
4,68,"We need to talk about the theoretical part about Lean, which is the Toyota method, Kaisen is also very important, Agile which is significantly linked to the DevOps process.","In the theoretical part of DevOps, Lean, Kaisen, and Agile should be taught."
4,69,"What is practical, from the menu, is to make an end-to-end software, [...] But, end-to-end, and the end, which is monitoring.","Make software from start to finish, going through the DevOps steps to the monitoring step."
4,70,"Software build [...] deliver this to a VM, somehow, in the best way you understand, which is possible in your suite [...] You can provide it with Docker.",Perform continuous delivery through virtual machines or with Docker.
4,71,"The software [...] a monitoring tool, in the end, for you to look at. [...] Look at a Grafana, for example, with Prometheus, which is free software, like that.",Use Grafana and Prometheus as monitoring tools.
4,72,"Of the menu is to make an end-to-end software, to understand the software in its conception. We already deliver this to the student, ready. Because we're not going to create the software from scratch, because the code is already kind of polished, it's a code from a forum in Java, where we have some features that depend on the machine to do the build, so we're going to decouple.",Use a complete example project from places such as a java discussion forum.
